Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Mobile App,30.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 17:30:00
Mobile App,15.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-03 17:30:00
Whatsapp,1.0,4150.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 11:05:00
Whatsapp,1.0,2450.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 11:05:00
Whatsapp,3.0,2200.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 11:18:00
Mobile App,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 11:43:00
Mobile App,1.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 11:43:00
Mobile App,1.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 11:43:00
Mobile App,1.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 11:43:00
Whatsapp,1.0,4150.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 13:27:00
Whatsapp,1.0,5700.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 13:27:00
Whatsapp,1.0,3100.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-04 13:27:00
Whatsapp,1.0,2250.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 13:27:00
Whatsapp,1.0,2450.0,General Trade,Home Care,delivered,Household Clean,2020-12-04 13:27:00
Whatsapp,50.0,2250.0,Wholesale,Home Care,delivered,Household Clean,2020-12-04 16:40:00
